Symbol,Name,Market Cap,P/E,EPS,Net Income,Beta,Dividend,Div Yield,Extended Hr Last Price,Extended Hr Change ,%Chg (Ext),Time,Last Price,Change,%Chg,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg,Sector,ISIN,Volume
FCX,Freeport-Mcmoran Inc,70960224000,32.14,1.53,1848000000,2.04,0.6,1.21%,49.47,0,0.00%,4/5/2024,49.47,0.29,0.59%,100% Buy,72.05%,32.82%,16132730,32.83,50.24,28.93,16.21%,33.27%,19.46%,22.69%,Non-Energy Minerals,US35671D8570,14.155?M
FDS,Factset Research Systems Inc,16510709000,28.77,15.06,468170000,0.72,3.92,0.90%,433.17,0,0.00%,4/5/2024,433.17,-0.12,-0.03%,24% Sell,36.26%,31.95%,317575,380.96,488.64,1.79,-9.20%,-6.71%,-5.13%,7.74%,Technology Services,US3030751057,216.177?K
FDX,Fedex Corp,67308072000,15.89,17.34,3972000000,1.21,5.04,1.84%,273.52,0,0.00%,4/5/2024,273.52,-1.99,-0.72%,56% Buy,58.81%,32.28%,2504555,213.8,291.27,19.07,8.12%,9.97%,10.82%,18.96%,Transportation,US31428X1063,1.569?M
FE,Firstenergy Corp,21875362000,14.89,2.57,1102000000,0.48,1.6,4.21%,38.17,0.16,0.42%,4/5/2024,38.01,-0.26,-0.68%,88% Buy,51.94%,12.76%,2887705,32.18,41.99,-3.62,3.68%,2.70%,-0.31%,-8.65%,Utilities,US3379321074,3.194?M
FFIV,F5 Inc,11315449000,19.67,9.58,394950000,1.11,N/A,0.00%,192.42,0,0.00%,4/5/2024,192.42,3.94,2.09%,100% Buy,57.16%,14.82%,363505,127.05,199.49,35.42,7.51%,2.65%,12.23%,30.72%,Technology Services,US3156161024,323.607?K
FI,Fiserv Inc,92659520000,20.55,7.54,3068000000,0.91,N/A,0.00%,157.38,0,0.00%,4/5/2024,157.38,2.47,1.59%,100% Buy,63.58%,13.82%,2488950,109.11,159.99,41.8,18.47%,4.95%,18.71%,40.09%,Finance,US3377381088,1.692?M
FICO,Fair Isaac and Company,30608956000,73.98,16.49,429380000,1.21,N/A,0.00%,1231.65,0,0.00%,4/5/2024,1231.65,11.8,0.97%,40% Buy,47.02%,34.70%,169245,664.41,1349.75,71.1,5.81%,-2.53%,10.42%,82.03%,Technology Services,US3032501047,80.303?K
FIS,Fidelity National Information Services,41759196000,15.23,4.72,-6654000000,0.97,1.92,2.65%,72.44,0,0.00%,4/5/2024,72.44,0.54,0.75%,100% Buy,61.56%,20.10%,4084690,46.91,74.75,35.48,20.59%,3.86%,17.96%,34.85%,Technology Services,US31620M1062,2.872?M
FITB,Fifth Third Bancorp,24047136000,9.91,3.56,2349000000,1.27,1.38,3.91%,35.3,0,0.00%,4/5/2024,35.3,0.02,0.06%,88% Buy,49.51%,22.41%,5593325,22.46,37.41,38.45,2.35%,-2.89%,-0.28%,36.98%,Finance,US3167731005,2.888?M
FMC,FMC Corp,7331751000,15.66,3.78,1321500000,0.87,2.32,3.95%,58.74,0,0.00%,4/5/2024,58.74,-0.47,-0.79%,8% Sell,46.92%,39.99%,2057410,49.49,125.2,-47.96,-6.84%,-1.62%,-3.36%,-51.81%,Process Industries,US3024913036,1.659?M
FOX,Fox Corp Cl B,13510222000,8.74,3.25,1239000000,0.85,0.52,1.83%,28.45,0,0.00%,4/5/2024,28.45,0.03,0.11%,24% Sell,55.91%,19.80%,1492945,25.82,33.24,-6.43,2.89%,8.05%,1.25%,-8.28%,Consumer Services,US35137L2043,2.077?M
FOXA,Fox Corp Cl A,14730654000,9.58,3.25,1239000000,0.78,0.52,1.68%,31,-0.02,-0.06%,4/5/2024,31.02,-0.12,-0.39%,8% Buy,55.46%,19.95%,3365390,28.28,35.4,-5.54,4.55%,7.63%,2.92%,-8.06%,Consumer Services,US35137L1052,6.128?M
FRT,Federal Realty Investment Trust,8268688000,15.17,2.8,236990000,1.21,4.35,4.36%,99.69,0,0.00%,4/5/2024,99.69,0.34,0.34%,24% Buy,47.78%,19.02%,506955,85.27,107.61,4.16,-3.26%,-1.96%,-2.24%,2.12%,Finance,US3137451015,377.12?K
FSLR,First Solar Inc,18688836000,21.43,8,830780000,1.41,N/A,0.00%,175.01,0.41,0.23%,4/5/2024,174.6,3.14,1.83%,24% Buy,63.84%,43.30%,1869635,129.21,232,-14.35,1.35%,9.77%,4.63%,-13.40%,Electronic Technology,US3364331070,2.344?M
FTNT,Fortinet Inc,54106528000,50.53,1.37,1147800000,1.08,N/A,0.00%,70.89,-0.02,-0.03%,4/5/2024,70.91,1.68,2.43%,88% Buy,56.62%,26.86%,4740220,44.12,81.24,19.52,21.15%,2.71%,21.55%,8.84%,Technology Services,US34959E1091,7.475?M
FTV,Fortive Corp,29610792000,24.42,3.43,865800000,1.13,0.3,0.36%,84.27,0,0.00%,4/5/2024,84.27,0.5,0.60%,72% Buy,52.58%,12.84%,1596000,62.7,87.1,27.49,14.45%,0.15%,17.96%,30.23%,Electronic Technology,US34959J1088,1.252?M
GD,General Dynamics Corp,80987952000,24.39,12.02,3315000000,0.68,5.28,1.79%,295.5,0.32,0.11%,4/5/2024,295.18,1.96,0.67%,100% Buy,76.97%,12.77%,969380,202.35,295.45,37.74,13.68%,7.89%,16.26%,28.91%,Electronic Technology,US3695501086,879.573?K
GE,General Electric Company,1.71E+11,52.64,2.8,9480000000,1.29,0.24,0.15%,156.29,-0.01,-0.01%,4/5/2024,156.3,8.91,6.05%,72% Buy,48.92%,96.80%,9142354,93.47,180.36,65.72,22.46%,-0.99%,23.76%,65.84%,Producer Manufacturing,US3696043013,14.778?M
GEHC,Ge Healthcare Technologies Inc,40285436000,22.32,3.94,1568000000,0.94,0.12,0.14%,88.04,-0.43,-0.49%,4/5/2024,88.47,0.51,0.58%,80% Buy,52.02%,21.41%,3756490,62.35,94.5,15.98,14.42%,-3.64%,15.47%,9.06%,Health Technology,US36266G1076,1.593?M
GEN,Gen Digital Inc,14107556000,12.81,1.72,1349000000,0.85,0.5,2.26%,22.12,-0.03,-0.14%,4/5/2024,22.15,0.12,0.54%,56% Buy,52.59%,18.29%,3346930,15.45,24.37,25.47,-2.94%,4.58%,-1.12%,28.70%,Technology Services,US6687711084,2.97?M
GILD,Gilead Sciences Inc,86632464000,10.35,6.72,5665000000,0.19,3.02,4.34%,69.3353,-0.2447,-0.35%,4/5/2024,69.58,0.03,0.04%,100% Sell,33.70%,16.25%,7243030,68.54,87.86,-18.02,-14.11%,-4.67%,-16.48%,-16.82%,Utilities,US36828A1016,16.055?M
GIS,General Mills,39633744000,15.2,4.63,2593900000,0.15,2.31,3.31%,69.8,0.01,0.01%,4/5/2024,69.79,-0.59,-0.84%,72% Buy,60.35%,17.67%,5083005,60.33,90.89,-13.42,7.14%,8.25%,7.39%,-19.84%,Health Technology,US3755581036,6.6?M
GL,Globe Life Inc,10198312000,10.34,10.65,970760000,0.69,0.915,0.84%,108.87,0.42,0.39%,4/5/2024,108.45,-1.66,-1.51%,40% Sell,24.86%,21.66%,1297880,102.23,132,-3.94,-10.90%,-14.14%,-11.31%,0.18%,Consumer Non-Durables,US3703341046,3.63?M
GLW,Corning Inc,27833156000,19.04,1.7,581000000,1.08,1.12,3.44%,32.54,0,0.00%,4/5/2024,32.54,0.17,0.53%,64% Buy,52.10%,13.11%,4380160,25.26,36.01,-1.78,6.86%,0.12%,6.44%,-5.02%,Finance,US37959E1029,1.252?M
GM,General Motors Company,51060568000,5.72,7.64,10127000000,1.51,0.39,0.88%,44.27,0.04,0.09%,4/5/2024,44.23,0.55,1.26%,100% Buy,63.81%,25.77%,18584760,26.3,46.04,39.09,23.13%,8.81%,22.90%,26.05%,Electronic Technology,US2193501051,4.541?M
GNRC,Generac Holdings Inc,8100757000,24.23,5.42,203090000,1.45,N/A,0.00%,134.0157,-0.3943,-0.29%,4/5/2024,134.41,3.07,2.34%,72% Buy,68.92%,30.10%,1038680,79.86,156.95,31.66,4.00%,22.09%,14.27%,34.99%,Consumer Durables,US37045V1008,11.21?M
GOOG,Alphabet Cl C,1.91E+12,26.2,5.8,73795000000,1.05,N/A,0.00%,153.7,-0.24,-0.16%,4/5/2024,153.94,2,1.32%,100% Buy,59.76%,24.47%,22953385,103.27,157,39.19,9.23%,15.07%,12.05%,46.68%,Producer Manufacturing,US3687361044,1.098?M
GOOGL,Alphabet Cl A,1.90E+12,25.95,5.8,73795000000,1.05,N/A,0.00%,152.28,-0.22,-0.14%,4/5/2024,152.5,1.97,1.31%,100% Buy,59.34%,24.97%,30575904,102.63,155.74,38.66,9.17%,14.95%,12.36%,45.97%,Technology Services,US02079K1079,16.297?M
GPC,Genuine Parts Company,20912058000,15.95,9.33,1316520000,0.94,3.85,2.57%,149.99,0,0.00%,4/5/2024,149.99,1.14,0.77%,64% Buy,49.30%,17.06%,899895,126.35,174.91,-5.62,8.30%,0.03%,9.79%,-7.50%,Technology Services,US02079K3059,23.459?M
GPN,Global Payments Inc,32120302000,12.71,9.91,986230000,0.96,1,0.79%,125.92,0,0.00%,4/5/2024,125.92,-0.08,-0.06%,24% Buy,41.06%,20.91%,2463060,95.12,141.77,15.92,-0.85%,-2.26%,-1.15%,21.16%,Distribution Services,US3724601055,613.198?K
GRMN,Garmin Ltd,28292860000,25.88,5.6,1289640000,0.98,2.92,1.98%,147.53,0,0.00%,4/5/2024,147.53,2.63,1.82%,100% Buy,65.34%,15.86%,1003495,94.89,149.54,55.45,14.77%,5.31%,20.09%,50.23%,Commercial Services,US37940X1028,1.72?M
GS,Goldman Sachs Group,1.32E+11,17.8,22.82,8516000000,1.43,10.75,2.63%,408.07,0,0.00%,4/5/2024,408.07,1.82,0.45%,100% Buy,57.78%,22.39%,2185540,289.36,419.2,26.75,5.78%,4.39%,5.60%,26.92%,Electronic Technology,CH0114405324,603.397?K
GWW,W.W. Grainger,49861636000,27.1,36.65,1829000000,1.14,7.44,0.73%,1014.83,0,0.00%,4/5/2024,1014.83,21.66,2.18%,96% Buy,60.90%,18.13%,191725,625.97,1034.18,60.63,22.46%,2.95%,23.95%,57.03%,Finance,US38141G1040,1.695?M
HAL,Halliburton Company,36555304000,12.95,3.14,2638000000,2,0.65,1.58%,41.4,0.16,0.39%,4/5/2024,41.24,0.59,1.45%,56% Buy,74.62%,16.75%,6495650,27.84,43.85,25.27,14.08%,17.23%,14.65%,24.74%,Distribution Services,US3848021040,138.671?K
HAS,Hasbro Inc,7830588000,22.16,2.52,-1489300000,0.74,2.8,4.96%,56.42,0,0.00%,4/5/2024,56.42,0.57,1.02%,40% Buy,63.13%,23.13%,1602845,42.66,73.57,7,10.50%,11.22%,16.62%,8.63%,Industrial Services,US4062161017,4.63?M
HBAN,Huntington Bcshs,19720000000,9.94,1.36,1951000000,1.11,0.62,4.56%,13.6,0,0.00%,4/5/2024,13.6,0.08,0.59%,100% Buy,56.62%,22.67%,15916615,9.13,13.97,26.28,6.92%,-0.44%,4.62%,23.19%,Consumer Durables,US4180561072,1.518?M
HCA,Hca Holdings Inc,86962656000,17.09,19.03,5242000000,1.65,2.46,0.75%,328.8,0,0.00%,4/5/2024,328.8,3.63,1.12%,96% Buy,59.53%,15.02%,888895,215.96,335.83,27.71,21.47%,4.20%,19.20%,21.19%,Finance,US4461501045,14.382?M
HD,Home Depot,3.55E+11,23.69,15.1,15143000000,0.98,8.52,2.38%,359.7833,1.9133,0.53%,4/5/2024,357.87,0.19,0.05%,56% Buy,41.83%,23.76%,3745915,274.26,396.87,21.91,3.27%,-5.44%,4.35%,23.97%,Health Services,US40412C1018,604.424?K
HES,Hess Corp,48361084000,30.91,5.05,1382000000,1.27,1.75,1.11%,157.45,0,0.00%,4/5/2024,157.45,1.33,0.85%,72% Buy,65.31%,13.61%,2265050,124.27,167.75,9.72,9.22%,7.58%,8.54%,10.72%,Retail Trade,US4370761029,3.243?M
HIG,Hartford Financial Services Group,30693150000,11.43,8.91,2504000000,0.89,1.79,1.73%,103.24,0,0.00%,4/5/2024,103.24,1.42,1.39%,100% Buy,74.02%,10.15%,1948665,67.01,103.4,60.77,28.44%,7.72%,24.66%,49.08%,Energy Minerals,US42809H1077,2.038?M
HII,Huntington Ingalls Industries,11331342000,16.74,17.1,681000000,0.6,5.08,1.78%,286.08,0,0.00%,4/5/2024,286.08,-0.13,-0.05%,80% Buy,52.19%,10.42%,307195,188.51,299.5,40.39,10.18%,-1.80%,13.30%,37.76%,Finance,US4165151048,1.51?M
HLT,Hilton Inc,53379960000,33.57,6.22,1141000000,1.25,0.6,0.28%,211.69,0,0.00%,4/5/2024,211.69,2.9,1.39%,100% Buy,60.90%,14.42%,1369345,134.43,215.79,53.62,16.26%,3.87%,17.28%,51.76%,Electronic Technology,US4464131063,199.273?K
HOLX,Hologic Inc,18304402000,20.02,3.86,456000000,1,N/A,0.00%,77.98,0,0.00%,4/5/2024,77.98,0.7,0.91%,88% Buy,59.21%,17.04%,1758770,64.02,87.88,-2.22,9.14%,5.72%,6.90%,-5.01%,Consumer Services,US43300A2033,1.38?M
HON,Honeywell International Inc,1.28E+11,21.38,9.17,5658000000,1.02,4.22,2.14%,197.15,0,0.00%,4/5/2024,197.15,1.1,0.56%,32% Buy,46.34%,15.86%,2938730,174.88,210.87,0.62,-5.99%,-0.10%,-3.13%,4.08%,Health Technology,US4364401012,1.485?M
HPE,Hewlett Packard Enterprise Comp,23400000000,12.37,1.45,2025000000,1.21,0.5,2.78%,17.8112,-0.1888,-1.05%,4/5/2024,18,0.06,0.33%,56% Buy,59.95%,26.12%,17464430,13.65,20.07,16.3,6.01%,-0.55%,4.83%,13.14%,Electronic Technology,US4385161066,2.213?M
HPQ,HP Inc,28549110000,8.8,3.37,3263000000,1.05,1.076,3.70%,29.0805,-0.0295,-0.10%,4/5/2024,29.11,-0.53,-1.79%,16% Sell,44.76%,15.24%,7642135,25.22,33.9,-2.43,-3.26%,-0.07%,-2.80%,-1.02%,Electronic Technology,US42824C1099,13.149?M
HRL,Hormel Foods Corp,19005192000,21.58,1.63,793570000,0.27,1.108,3.19%,34.51,-0.19,-0.55%,4/5/2024,34.7,-0.47,-1.34%,24% Buy,58.91%,14.67%,2824440,28.51,41.73,-8.87,8.07%,2.00%,7.90%,-14.30%,Electronic Technology,US40434L1052,5.161?M
HSIC,Henry Schein Inc,9319254000,16.2,4.5,416000000,0.87,N/A,0.00%,72.52,0,0.00%,4/5/2024,72.52,-0.37,-0.51%,40% Sell,43.04%,17.04%,1075225,60.01,85.75,-10.46,-4.21%,-3.83%,-1.87%,-13.65%,Consumer Non-Durables,US4404521001,1.949?M
HST,Host Marriott Financial Trust,14269008000,10.4,1.04,740000000,1.31,0.98,4.83%,20.28,0,0.00%,4/5/2024,20.28,0.2,1.00%,80% Buy,49.05%,15.75%,5260100,14.92,21.31,27.06,4.16%,-2.45%,2.27%,26.12%,Distribution Services,US8064071025,584.911?K
HSY,Hershey Foods Corp,39513272000,20.43,9.59,1861790000,0.34,4.79,2.47%,194.21,0.47,0.24%,4/5/2024,193.74,-2.21,-1.13%,8% Sell,49.44%,25.15%,2478090,178.82,276.88,-21.81,3.92%,3.29%,3.25%,-25.32%,Finance,US44107P1049,3.821?M
HUBB,Hubbell Inc B,22366744000,26.93,15.32,759800000,0.94,4.68,1.12%,417.08,0,0.00%,4/5/2024,417.08,4.52,1.10%,100% Buy,65.01%,21.74%,426495,219.77,429.61,82.25,26.80%,9.57%,31.09%,86.19%,Consumer Non-Durables,US4278661081,1.407?M
HUM,Humana Inc,37777656000,11.93,25.99,2489000000,0.45,2.655,0.85%,312.8,-0.31,-0.10%,4/5/2024,313.11,3.07,0.99%,100% Sell,30.58%,52.46%,1810540,299.23,541.21,-45.25,-31.61%,-7.34%,-31.68%,-39.35%,Producer Manufacturing,US4435106079,449.666?K
HWM,Howmet Aerospace Inc,27514984000,35.42,1.85,765000000,1.43,0.18,0.27%,67.06,0,0.00%,4/5/2024,67.06,1.53,2.33%,96% Buy,57.68%,25.34%,3853975,41.4,69.55,63.11,23.91%,-1.32%,24.58%,59.25%,Health Services,US4448591028,1.239?M
IBM,International Business Machines,1.73E+11,19.56,9.61,7502000000,0.7,6.64,3.51%,189.01,-0.13,-0.07%,4/5/2024,189.14,1.2,0.64%,80% Buy,51.86%,18.76%,4185605,120.55,199.18,50.3,15.65%,-1.46%,18.84%,43.14%,Electronic Technology,US4432011082,2.421?M
ICE,Intercontinental Exchange,78946568000,24.28,5.63,2368000000,1.02,1.71,1.24%,137.87,0,0.00%,4/5/2024,137.87,1.17,0.86%,100% Buy,57.51%,11.97%,2603445,103.81,140.43,31.37,7.35%,-1.11%,9.60%,29.80%,Technology Services,US4592001014,2.014?M
IDXX,Idexx Laboratories,43149876000,51.45,10.07,845040000,1.26,N/A,0.00%,519.54,0,0.00%,4/5/2024,519.54,1.44,0.28%,24% Buy,39.87%,15.08%,381325,372.5,583.39,7.73,-6.40%,-6.95%,-3.32%,8.99%,Finance,US45866F1049,2.328?M
IEX,Idex Corp,18118434000,28.81,8.22,596100000,0.97,2.56,1.07%,239.38,0,0.00%,4/5/2024,239.38,2.59,1.09%,80% Buy,55.98%,12.61%,308805,183.76,246.36,14.49,10.26%,1.72%,13.35%,9.89%,Health Technology,US45168D1046,434.869?K
IFF,International Flavors & Fragrances,21278284000,25.11,3.34,-2567000000,1.23,2.83,3.40%,83.34,0,0.00%,4/5/2024,83.34,-0.52,-0.62%,100% Buy,53.68%,26.93%,2355075,62.11,97.49,-2.93,2.93%,8.63%,4.21%,-7.73%,Producer Manufacturing,US45167R1041,280.684?K
ILMN,Illumina Inc,20299474000,144.83,0.87,-1161000000,1.19,N/A,0.00%,127,-0.75,-0.59%,4/5/2024,127.75,1.75,1.39%,56% Sell,43.11%,36.19%,1699955,89,232.88,-39.72,-8.25%,-5.15%,-2.09%,-44.68%,Consumer Non-Durables,US4595061015,838.58?K
INCY,Incyte Corp,12402816000,20.52,2.68,597600000,0.65,N/A,0.00%,55.24,0,0.00%,4/5/2024,55.24,0.25,0.45%,100% Sell,38.29%,18.02%,1863900,50.27,76.04,-23.68,-12.02%,-6.21%,-15.35%,-25.13%,Health Technology,US4523271090,1.1?M
INTC,Intel Corp,1.64E+11,99.32,0.4,1689000000,1,0.5,1.29%,38.64,-0.07,-0.18%,4/5/2024,38.71,-1.02,-2.57%,40% Sell,36.76%,42.18%,48044266,26.85,51.28,14.01,-22.97%,-10.31%,-17.45%,17.91%,Health Technology,US45337C1027,1.603?M
INTU,Intuit Inc,1.78E+11,58.34,10.65,2384000000,1.21,3.36,0.53%,635.74,0,0.00%,4/5/2024,635.74,14.46,2.33%,40% Buy,48.52%,22.75%,1351875,400.22,671.01,42.94,1.71%,-0.62%,7.93%,44.77%,Electronic Technology,US4581401001,67.263?M
INVH,Invitation Homes Inc,21296102000,19.43,0.84,519470000,0.94,1.34,3.85%,34.77,0,0.00%,4/5/2024,34.77,0.37,1.08%,88% Buy,53.21%,15.91%,2988370,28.49,36.53,7.9,1.93%,-0.29%,2.69%,11.41%,Technology Services,US4612021034,1.62?M
IP,International Paper Company,13427468000,18.11,2.17,288000000,0.99,1.85,4.79%,38.52,-0.14,-0.36%,4/5/2024,38.66,-0.63,-1.60%,100% Buy,55.41%,50.28%,6434745,29,41.28,12.92,6.94%,7.84%,3.73%,8.99%,Finance,US46187W1071,1.789?M
IPG,Interpublic Group of Companies,11914689000,10.64,3,1098400000,1.13,1.26,4.01%,31.46,0,0.00%,4/5/2024,31.46,-0.45,-1.41%,8% Buy,43.23%,18.32%,4900640,27.2,40.95,-14.37,-3.62%,-1.07%,-3.02%,-15.04%,Process Industries,US4601461035,3.347?M
IQV,Iqvia Holdings Inc,43823176000,25.68,9.29,1358000000,1.5,N/A,0.00%,241.45,0,0.00%,4/5/2024,241.45,2.92,1.22%,72% Buy,47.44%,15.31%,862710,167.42,261.73,22.46,4.35%,-3.50%,9.49%,22.51%,Commercial Services,US4606901001,2.29?M
IR,Ingersoll Rand Inc,38249768000,32.27,2.86,778700000,1.44,0.08,0.08%,94.81,0,0.00%,4/5/2024,94.81,2.51,2.72%,100% Buy,63.01%,18.05%,2226345,53.24,96.17,75.07,22.59%,5.38%,26.75%,72.73%,Health Services,US46266C1053,556.638?K
IRM,Iron Mountain Inc,22984584000,19.63,1.79,184230000,0.94,2.569,3.27%,78.64,0,0.00%,4/5/2024,78.64,-0.06,-0.08%,88% Buy,55.67%,18.70%,1315425,51.09,82.19,51.47,12.37%,0.09%,17.81%,52.46%,Producer Manufacturing,US45687V1061,2.126?M
ISRG,Intuitive Surg Inc,1.38E+11,83.83,4.52,1798000000,1.36,N/A,0.00%,388.39,0,0.00%,4/5/2024,388.39,9.47,2.50%,80% Buy,52.00%,26.26%,1576425,252.04,403.76,45.65,15.13%,0.28%,20.43%,50.54%,Finance,US46284V1017,916.318?K
IT,Gartner Inc,36673028000,40.98,11.33,882470000,1.29,N/A,0.00%,470.36,0,0.00%,4/5/2024,470.36,6.02,1.30%,80% Buy,51.63%,17.39%,320665,292.6,486.54,49.35,4.27%,2.20%,10.58%,50.20%,Health Technology,US46120E6023,1.404?M
ITW,Illinois Tool Works Inc,78552008000,26.96,9.71,2957000000,1.13,5.51,2.10%,262.94,0,0.00%,4/5/2024,262.94,1.16,0.44%,80% Buy,50.74%,10.52%,1622570,217.06,271.15,14.31,0.38%,1.96%,1.93%,14.62%,Technology Services,US3666511072,233.247?K
IVZ,Invesco Plc,7479247000,10.95,1.51,-96900000,1.44,1.11,6.67%,16.61,-0.04,-0.24%,4/5/2024,16.65,0.12,0.73%,88% Buy,58.78%,21.13%,4318765,12.48,18.71,3.24,-6.67%,6.19%,-6.98%,5.98%,Producer Manufacturing,US4523081093,908.509?K
J,Jacobs Engineering Group Inc,18586296000,19.75,7.55,665780000,0.73,1.07,0.72%,147.92,0,0.00%,4/5/2024,147.92,-1.22,-0.82%,80% Buy,51.94%,14.06%,546090,109,154.5,28.83,13.96%,0.54%,16.86%,31.60%,Finance,BMG491BT1088,5.494?M
JBHT,J B Hunt Transport,20177196000,27.91,6.97,728290000,1.11,1.69,0.87%,195.33,0,0.00%,4/5/2024,195.33,0.81,0.42%,8% Buy,46.04%,20.22%,645775,164.39,219.51,9.04,-2.21%,-2.38%,2.82%,14.72%,Technology Services,US46982L1089,540.234?K
JBL,Jabil Circuit,17916384000,16.88,8.05,818000000,1.4,0.32,0.23%,140.47,0,0.00%,4/5/2024,140.47,4.59,3.38%,72% Buy,54.14%,68.61%,1703380,75.48,156.94,60.14,10.26%,-7.04%,10.81%,68.83%,Transportation,US4456581077,392.497?K
JCI,Johnson Controls Intl,44425484000,19.28,3.34,1849000000,1.24,1.48,2.27%,65.19,0,0.00%,4/5/2024,65.19,0.8,1.24%,88% Buy,66.77%,13.66%,5334220,47.9,70.43,17.98,13.10%,8.02%,14.01%,17.04%,Electronic Technology,US4663131039,1.148?M
JKHY,Jack Henry & Assoc,12389744000,33.41,5.07,366650000,0.66,2.11,1.24%,170.03,0,0.00%,4/5/2024,170.03,0.62,0.37%,40% Buy,48.96%,18.14%,396555,136.57,178.37,11.26,4.05%,-1.44%,1.99%,15.53%,Producer Manufacturing,IE00BY7QL619,3.043?M
JNJ,Johnson & Johnson,3.67E+11,14.62,10.43,35153000000,0.53,4.76,3.12%,152,-0.39,-0.26%,4/5/2024,152.39,-0.11,-0.07%,56% Sell,36.22%,13.10%,6961365,144.95,175.97,-8.54,-2.78%,-4.74%,-5.42%,-7.98%,Technology Services,US4262811015,275.37?K
JNPR,Juniper Networks,12024804000,23.25,1.59,310200000,0.98,0.88,2.37%,37.12,0.05,0.13%,4/5/2024,37.07,0.1,0.27%,72% Buy,57.38%,8.27%,4332870,24.87,38.04,13.94,25.75%,-1.01%,23.94%,8.04%,Health Technology,US4781601046,6.783?M
JPM,JP Morgan Chase & Company,5.69E+11,11.67,16.77,49552000000,1.15,4.25,2.15%,197.65,0.2,0.10%,4/5/2024,197.45,1.8,0.92%,100% Buy,64.10%,15.80%,8526190,126.22,200.94,48.88,16.08%,4.72%,14.62%,54.73%,Technology Services,US48203R1041,2.134?M
K,Kellanova,19634056000,13.84,4.16,951000000,0.4,2.24,3.90%,57.6,0.15,0.26%,4/5/2024,57.45,-0.13,-0.23%,56% Buy,58.88%,17.82%,4022965,47.63,72.3,-10.92,2.75%,7.54%,1.39%,-15.55%,Finance,US46625H1005,6.532?M
KDP,Keurig Dr Pepper Inc,42696176000,17.14,1.79,2181000000,0.66,0.845,2.75%,30.44,-0.33,-1.07%,4/5/2024,30.77,0.09,0.29%,56% Sell,53.99%,15.90%,12438396,27.66,35.99,-10.46,-7.65%,5.78%,-3.75%,-13.08%,Consumer Non-Durables,US4878361082,2.163?M
KEY,Keycorp,13967729000,12.06,1.25,967000000,1.29,0.82,5.44%,15.05,-0.01,-0.07%,4/5/2024,15.06,-0.02,-0.13%,100% Buy,53.62%,27.87%,11691335,8.53,15.86,35.24,4.58%,0.27%,2.87%,30.28%,Consumer Non-Durables,US49271V1008,8.528?M
KEYS,Keysight Technologies Inc,27445438000,21.54,7.19,1057000000,1.05,N/A,0.00%,155.92,-1.31,-0.83%,4/5/2024,157.23,2.38,1.54%,80% Buy,55.88%,18.25%,1230185,118.57,172.72,3.59,-1.17%,0.94%,5.55%,0.81%,Finance,US4932671088,11.254?M
KHC,Kraft Heinz Company,45051544000,12.54,2.97,2855000000,0.67,1.6,4.32%,37.1,0.04,0.11%,4/5/2024,37.06,-0.19,-0.51%,56% Buy,59.69%,10.12%,8352275,30.68,41.47,-0.92,0.22%,5.49%,-2.32%,-5.02%,Electronic Technology,US49338L1035,952.587?K
KIM,Kimco Realty Corp,12478202000,11.85,1.02,654270000,1.45,1.03,5.56%,18.51,0,0.00%,4/5/2024,18.51,-0.09,-0.48%,56% Sell,39.95%,24.55%,5005310,16.34,22.83,-3.66,-13.14%,-5.95%,-11.22%,-3.19%,Consumer Non-Durables,US5007541064,7.251?M
KLAC,K L A-Tencor Corp,92343184000,29.52,22.79,3387280000,1.34,5.5,0.81%,682.84,0,0.00%,4/5/2024,682.84,10.09,1.50%,80% Buy,51.44%,28.75%,918545,355.88,729.15,80.25,17.47%,-3.26%,25.45%,78.94%,Finance,US49446R1095,4.534?M
KMB,Kimberly-Clark Corp,42555604000,19.25,6.57,1764000000,0.4,4.76,3.77%,126.31,0,0.00%,4/5/2024,126.31,-0.19,-0.15%,72% Buy,55.31%,13.92%,2224640,116.32,147.87,-5.72,3.95%,2.18%,3.32%,-6.89%,Electronic Technology,US4824801009,790.881?K
KMI,Kinder Morgan,40969624000,17.22,1.07,2391000000,0.9,1.13,6.12%,18.51,0.05,0.27%,4/5/2024,18.46,0.03,0.16%,100% Buy,64.76%,11.93%,13581765,15.89,18.72,7.48,4.65%,4.18%,2.44%,4.23%,Consumer Non-Durables,US4943681035,1.559?M
KMX,Carmax Inc,12867270000,28.11,2.87,484760000,1.61,N/A,0.00%,81.49,0,0.00%,4/5/2024,81.49,0.82,1.02%,64% Buy,52.71%,28.59%,1705335,59.66,88.22,18.38,6.19%,1.71%,11.63%,30.51%,Industrial Services,US49456B1017,9.873?M
KO,Coca-Cola Company,2.57E+11,22.04,2.69,10714000000,0.59,1.865,3.13%,59.51,0,0.00%,4/5/2024,59.51,0.21,0.35%,64% Buy,45.23%,10.87%,14550150,51.55,64.99,-3.89,0.98%,-0.02%,-0.27%,-5.24%,Retail Trade,US1431301027,1.694?M
